team,city,country
FK Baku,Baku,Azerbaijan
FK Zeta,Podgorica,Montenegro
Vålerenga IF,Oslo,Norway
SS Pennarossa,Chiesanuova,San Marino
FK Sloga Jugomagnat,Skopje,Macedonia
Valur Reykjavík,Reykjavik,Iceland
FK Budućnost Podgorica,Podgorica,Montenegro
Levadia Maardu,Tallinn,Estonia
KF Skënderbeu,Korce,Albania
Beitar Jerusalem,Jerusalem,Israel
Marsaxlokk FC,Marsaxlokk,Malta
Maribor Teatanic,Maribor,Slovenia
Tsement Ararat,Ararat,Armenia
HNK Rijeka,Rijeka,Croatia
Śląsk Wrocław,Wroclaw,Poland
FC Saburtalo,Tbilisi,Georgia
KAA Gent,Ghent,Belgium
St. Theresas FC,Belfast,Gibraltar
AS Roma,Rome,Italy
AS Monaco,Monaco,France
PFC Ludogorets Razgrad,Razgrad,Bulgaria
FK Ventspils,Ventspils,Latvia
Zrinjski Mostar,Mostar,Bosnia
Anorthosis Famagusta FC,Larnaca,Cyprus
Portadown FC,Portadown,Great Britain
FK Sarajevo,Sarajevo,Bosnia
Borac Banja Luka,Banja luka,Bosnia
Hapoel Be'er Sheva,Beersheba,Israel
Cork City,Cork,Ireland
VMFD Žalgiris,Vilnius,Lithuania
KF Trepça,Mitrovica,Kosovo
Werder Bremen,Bremen,Germany
AEL Limassol,Limassol,Cyprus
CFR Cluj,Cluj-napoca,Romania
Real Madrid,Madrid,Spain
NK Domžale,Domzale,Slovenia
FK Rudar Pljevlja,Pljevlja,Montenegro
Kalmar FF,Kalmar,Sweden
Dunaferr SE,Dunaujvaros,Hungary
EB/Streymur,Streymnes,Faroe Islands
Dundalk FC,Dundalk,Ireland
Omonia Nikosia,Nicosia,Cyprus
AIK Solna,Stockholm,Sweden
Videoton FC,Szekesfehervar,Hungary
Zagłębie Lubin,Lubin,Poland
Zenit St Petersburg,St petersburg,
Manchester City,Manchester,Great Britain
Viktoria Plzeň,Pilsen,Czech Republic
Leicester City,Leicester,Great Britain
Sligo Rovers,Sligo,Ireland
Liverpool,Liverpool,Great Britain
NK Zagreb,Zagreb,Croatia
Sturm Graz,Graz,Austria
Llanelli AFC,Llanelli,Great Britain
Rapid Bucureşti,Bucharest,Romania
FK Spartaks,Sloka,Latvia
FC Porto,Porto,Portugal
Partizan,Belgrade,Serbia
Dinamo Kiev,Kiev,Ukraine
Shirak FC,Gyumri,Armenia
FC Flora,Tallinn,Estonia
Ulisses FC,Yerevan,Armenia
FC Unirea,Urziceni,Romania
FK Dinamo Tirana,Tirana,Albania
Bangor City,Bangor,Great Britain
Bayern Munich,Munich,
FK AS Trenčín,Trencin,Slovakia
Chelsea,London,Great Britain
CS FOLA Esch,Esch-sur-alzette,Luxembourg
Široki Brijeg,Siroki brijeg,Bosnia
BSC Young Boys,Bern,Switzerland
FC Viitorul Constanța,Ovidiu,Romania
1. FC Kaiserslautern,Kaiserslautern,Germany
ÍB Vestmannaeyja,Vestmannaeyja,Iceland
AEK Athen,Athens,Greece
Sioni Bolnisi,Bolnisi,Georgia
Víkingur,Leirvik,Faroe Islands
Torpedo Kutaisi,Kutaisi,Georgia
Dila Gori,Gori,Georgia
Bursaspor,Bursa,Turkey
UMF Stjarnan,Garoaber,Iceland
Besiana Podujevë,Podujevo,Kosovo
Inter Slovnaft Bratislava,Bratislava,Slovakia
FK Pobeda,Prilep,Macedonia
FK Liepājas Metalurgs,Liepaja,Latvia
Celtic FC,Glasgow,Great Britain
KF Elbasani,Elbasan,Albania
Rubin Kazan,Kazan,Russia
FK Kukësi,Kukes,Albania
Dinamo Minsk,Minsk,Belarus
Leotar Trebinje,Trebinje,Bosnia
SS Folgore/Falciano,Falciano,San Marino
CS Grevenmacher,Grevenmacher,Luxembourg
VfL Wolfsburg,Wolfsburg,Germany
IFK Göteborg,Gothenburg,Sweden
KR Reykjavík,Reykjavik,Iceland
FC St. Gallen,St gallen,Switzerland
SS Murata,Murata,San Marino
Apollon Limassol,Limassol,Cyprus
NK Maribor,Maribor,Slovenia
FC Lusitanos la Posa,Andorra la vella,Andorra
Hapoel Tel Aviv,Tel aviv,Israel
Artmedia Petržalka,Bratislava,Slovakia
Inter Milan,Milan,
FK Kapaz Gäncä,Ganja,Azerbaijan
Linfield FC,Belfast,Great Britain
Metalurgi Rustavi,Rustavi,Georgia
Hapoel Haifa,Haifa,Israel
ŁKS Łódź,Lodz,Poland
FC Nordsjælland,Farum,Denmark
FC Milsami,Orhei,Moldova
Debreceni VSC,Debrecen,Hungary
SC Faetano,Faetano,San Marino
FC Twente,Enschede,Netherlands
Montpellier HSC,Montpellier,France
FC Barcelona,Barcelona,Spain
FK Sutjeska,Niksic,Montenegro
Shakhtar Donetsk,Donetsk,Ukraine
Lokomotiv Plovdiv,Plovdiv,Bulgaria
Oţelul Galaţi,Galati,Romania
FC Zimbru,Chisinau,Moldova
SP La Fiorita,Montegiardino,San Marino
FK Žalgiris,Vilnius,Lithuania
UE Sant Julià,Sant julia de loria,Andorra
Grasshopper Club Zürich,Zurich,Switzerland
IFK Norrköping,Norrkoping,Sweden
Željezničar Sarajevo,Sarajevo,Bosnia
KF Tiranë,Tirana,Albania
FK Obilić,Belgrade,Serbia
Olympiakos Piräus,Athens,Greece
Molde FK,Molde,Norway
Standard Liège,Liege,Belgium
AZ Alkmaar,Alkmaar,Netherlands
JK Nõmme Kalju,Tallinn,Estonia
Barcelona,Barcelona,Spain
ÍA Akranes,Akranes,Iceland
Budapesti Vasas,Budapest,Hungary
Shipchenski Sokol Varna,Varna,Bulgaria
RWD Molenbeek,Brussels,Belgium
EPA Larnaca,Larnaca,Cyprus
Blackburn Rovers,Blackburn,Great Britain
FK Orbita,Minsk,Belarus
RC Haarlem,Haarlem,Netherlands
FC Carl Zeiss Jena,Jena,Germany
Tottenham Hotspur,London,Great Britain
Pogoń Lwów,Lviv,Poland
Dumbarton FC,Dumbarton,Great Britain
Aberdeen FC,Aberdeen,Great Britain
OGC Nice,Nice,France
ZS Unia Chorzow,Chorzow,Poland
VfB Leipzig,Leipzig,Germany
UDR Resita,Resita,Romania
AS-23 Sofia,Sofia,Bulgaria
Tallinna JK,Tallinn,Estonia
Garbarnia Krakow,Krakow,Poland
BSG Chemie Leipzig,Leipzig,Germany
Jūrnieks Riga,Riga,Latvia
SC Brühl,St gallen,Switzerland
Hannover 96,Hannover,Germany
Køge BK,Koge,Denmark
Tavriya Simferopol,Simferopol,Ukraine
Fässberg IF,Gothenburg,Sweden
Dnepr Dnepropetrovsk,Dnipro,Russia
IFK Gothenburg,Gothenburg,
Excelsior Winterthur,Winterthur,Switzerland
Aris Saloniki,Thessaloniki,Greece
FC Ararat,Ararat,Armenia
Dainava Alytus,Alytus,Lithuania
Sevilla FC,Seville,Spain
Bnei Yehuda Tel Aviv,Tel aviv,Israel
Akademisk BK,Copenhagen,Denmark
Polonia Bytom,Bytom,Poland
Româno-Americana Bucuresti,Bucharest,Romania
Vladislav Varna,Varna,Bulgaria
Prahova Ploiesti,Ploiesti,Romania
SC Eindhoven,Eindhoven,Netherlands
FK Zalgiris Vilnius,Vilnius,Lithuania
Red Star Belgrade,Belgrade,
Zwiazkowy Klub Sportowy Cracovia,Krakow,Poland
St. James's Gate,Dublin,Ireland
SK Slavia Praha,Prague,Czech Republic
LFLS Kauen,Kaunas,Lithuania
Go Ahead Eagles,Deventer,Netherlands
ZSG Union Halle,Halle,Germany
Hungária FC MTK Budapest,Budapest,Hungary
Concordia Zagreb,Zagreb,Croatia
Dinamo Moskva,Moscow,Russia
ND HIT Gorica,Gorica,Slovenia
Derby County,Derby,Great Britain
AC Libertas,Borgo maggiore,San Marino
Volna Pinsk,Pinsk,Belarus
Dinamo Riga,Riga,Latvia
1. HŠK Građanski,Zagreb,Croatia
Sputnik Minsk,Minsk,Belarus
Wolverhampton Wanderers,Wolverhampton,Great Britain
AC Sparta,Prague,Czech Republic
Vereinigter FC Winterthur-Veltheim,Winterthur,Switzerland
Obuvshchik Lida,Lida,Belarus
TB Tvøroyri,Tvoroyri,Faroe Islands
FC Sochaux,Sochaux,France
CCA Bucureşti,Bucharest,Romania
MPKC Mozyr,Mozyr,Belarus
SK Sofia,Sofia,Bulgaria
LF Lavinimosi,Kaunas,Lithuania
Union St. Gilloise,Brussels,Belgium
HVV Den Haag,The hague,Netherlands
Cwmbran Town,Cwmbran,Great Britain
H.V. Quick,The hague,Netherlands
NAC Breda,Breda,Netherlands
Cork Hibernians,Cork,Ireland
Chief Constructor FC,Gibraltar,Gibraltar
Athletic Bilbao,Bilbao,Spain
KSS Klaipėda,Klaipeda,Lithuania
SK Freidig,Trondheim,Norway
Phönix Karlsruhe,Karlsruhe,Germany
Lokomotyvas Kaunas,Kaunas,Lithuania
Gauja Valmiera,Valmiera,Latvia
Nottingham Forest,Nottingham,Great Britain
SV Austria Salzburg,Salzburg,Austria
Ajax,Amsterdam,Netherlands
Vác FC-Samsung,Vac,Hungary
Atlético Aviación,Madrid,Spain
Szombierki Bytom,Bytom,Poland
Ards FC,Bangor,Great Britain
Tallinna Dünamo,Tallinn,Estonia
Östers IF,Vaxjo,Sweden
Lokomotiv Sofia,Sofia,Bulgaria
FC Wacker Innsbruck,Innsbruck,Austria
Olympique Lillois Lille,Lille,France
Naroch Molodechno,Molodechno,Belarus
Hapoel Ramat Gan,Ramat gan,Israel
Bologna FC,Bologna,Italy
Eintracht Braunschweig,Braunschweig,Germany
ACF Fiorentina,Florence,Italy
Union 92 Berlin,Berlin,Germany
Vitosha Sofia,Sofia,Bulgaria
Estonia Tallinn,Tallinn,Estonia
Casale,Casale monferreto,Italy
Wiener AF,Vienna,Austria
Royal Sovereign,Gibraltar,Gibraltar
Liverpool FC,Liverpool,Great Britain
Aston Villa,Birmingham,Great Britain
Leeds United,Leeds,Great Britain
Everton FC,Liverpool,Great Britain
Burnley FC,Burnley,Great Britain
Portsmouth FC,Portsmouth,Great Britain
Sheffield Wednesday,Sheffield,Great Britain
Newcastle United,Newcastle,Great Britain
Preston North End,Preston,Great Britain
Sunderland AFC,Sunderland,Great Britain
West Bromwich Albion,Birmingham,Great Britain
Huddersfield Town,Huddersfield,Great Britain
Ipswich Town,Ipswich,Great Britain
Sheffield United,Sheffield,Great Britain
Real Sociedad,San Sebastián,Spain
Real Betis,Seville,Spain
Sampdoria,Genoa,Italy
SSC Napoli,Naples,Italy
Hellas Verona,Verona,Italy
Torino FC,Turin,Italy
Spezia Calcio 1906,La Spezia,Italy
Genoa Cricket & Football Club,Genoa,Italy
Pro Vercelli,Vercelli,Italy
US Novese,Novi Ligure,Italy
Cagliari Calcio,Cagliari,Italy
Genoa Cricket & Athletic Club,Genoa,Italy
AJ Auxerre,Auxerre,France
nicht vergeben,No city,France
AS Saint-Étienne,Saint-Étienne,France
RC Strasbourg,Strasbourg,France
Stade Reims,Reims,France
Olympique Roubaix-Tourcoing,Roubaix,France
FC Sète,FC Sète,France
Racing Club de France,Paris,France
FC Mulhouse,Mulhouse,France
CA Paris (alt),Paris,France
Étoile des Deux Lacs,Paris,France
Patronage Olier Paris-Arcueil,Paris,France
AS Saint-Ouen,Saint-Ouen,France
RC Roubaix,Roubaix,France
Le Havre AC,Le Havre,France
AC Standard Paris,Paris,France
Club Francais Paris,Paris,France
SM Puteaux,Paris,France
Gallia Club Paris,Paris,France
Hamburger SV, Hamburg, Germany
1. FC Köln, Hamburg, Germany
Bor. Mönchengladbach, Mönchengladbach, Germany
1. FC Nürnberg, Nuremberg, Germany
TSV 1860 München, Munich, Germany
Frankfurter SG Eintracht, Frankfurt, Germany
FC Schalke 04, Gelsenkirchen, Germany
Rot-Weiss Essen, Essen, Germany
VfR Mannheim, Mannheim, Germany
Dresdner SC, Dresden, Germany
Düsseldorfer FK Fortuna 1911, Düsseldorf, Germany
Hertha BSC, Berlin, Germany
SpVgg Fürth, Fürth, Germany
Holstein Kiel, Kiel, Germany
BTuFC Viktoria 89, Berlin, Germany
Karlsruher FV, Karlsruhe, Germany
Freiburger FC, Freiburg, Germany
Hansa Rostock,Rostock,Germany
Dynamo Dresden,Dresden,Germany
BFC Dynamo,Berlin,Germany
1. FC Magdeburg,Magdeburg,Germany
FC Vorwärts Berlin,Berlin,Germany
ASK Vorwärts Berlin,Berlin,Germany
SC Motor Jena,Jena,Germany
SC Wismut Karl-Marx-Stadt,Chemnitz,Germany
BSG Turbine Erfurt,Erfurt,Germany
SV Deutsche VP Dresden,Dresden,Germany
BSG Turbine Halle,Halle,Germany
ZSG Horch Zwickau,Zwickau,Germany
SG Planitz,Zwickau,Germany
FC Karl-Marx-Stadt,Chemnitz,Germany
Os Belenenses,Lisbon,Portugal
Dundee United, Dundee,Scotland
Kilmarnock FC,Kilmarnock,Scotland
Dundee FC,Dundee,Scotland
Heart of Midlothian,Edinburgh,Scotland
Hibernian FC,Edinburgh,Scotland
Motherwell FC,Motherwell,Scotland
Third Lanark,Glasgow,Scotland
Derry City,Derry,Republic of Ireland
Athlone Town,Athlone,Republic of Ireland
Limerick United,Limerick,Republic of Ireland
Cork Celtic,Cork,Republic of Ireland
Waterford AFC,Waterford,Republic of Ireland
Drumcondra Dublin,Dublin,Republic of Ireland
Limerick FC,Limerick,Republic of Ireland
Cork Athletic,Cork,Republic of Ireland
Dolphin Dublin,Dublin,Republic of Ireland
Cork United,Cork,Republic of Ireland
Coleraine FC,Coleraine,Northern Ireland
Lisburn Distillery,Belfast,Northern Ireland
Glenavon FC,Lurgan,Northern Ireland
Belfast Celtic,Belfast,Northern Ireland
Queen's Island FC, Belfast,Northern Ireland
Lierse SK,Lier,Belgium
KV Mechelen,Mechelen,Belgium
KSK Beveren,Beveren,Belgium
Royal Antwerp FC,Antwerp,Belgium
RFC de Liège,Liege,Belgium
KFC Germinal Ekeren, Antwerp,Belgium
Daring Club de Bruxelles,Brussels,Belgium
Cercle Sportif Brugeois,Bruges,Belgium
FC Brugeois,Bruges,Belgium
RC Brussels,Brussels,Belgium
AZ '67 Alkmaar,Alkmaar,Netherlands
Feijenoord,Rotterdam,Netherlands
DWS Amsterdam,Amsterdam,Netherlands
Sparta Rotterdam,Rotterdam,Netherlands
DOS Utrecht,Utrecht,Netherlands
Rapid JC Heerlen,Heerlen,Netherlands
Willem II,Tilburg,Netherlands
SV Limburgia,Brunssum,Netherlands
SVV Schiedam,Schiedam,Netherlands
BVV, Barendrecht,Netherlands
HFC Haarlem,Haarlem,Netherlands
De Volewijckers,Amsterdam,Netherlands
ADO Den Haag,The Hague,Netherlands
Heracles Almelo,Almelo,Netherlands
Sportclub Enschede,Enschede,Netherlands
HBS-Craeyenhout,The Hague,Netherlands
Be Quick 1887,Groningen,Netherlands
RAP Amsterdam,Amsterdam,Netherlands
Racing Club Heemstede,Heemstede,Netherlands
FC Sion,Sion,Switzerland
FC Aarau,Aarau,Switzerland
FC Luzern,Lucerne,Switzerland
Neuchâtel Xamax FC,Neuchâtel,Switzerland
Lausanne Sports,Lausanne,Switzerland
FC La Chaux-de-Fonds,La Chaux-de-Fonds,Switzerland
FC Lugano,Lugano,Switzerland
AC Bellinzona,Bellinzona,Switzerland
FC Biel/Bienne,Biel/Bienne,Switzerland
FC Bern,Bern,Switzerland
FC Etoile-Sporting,La Chaux-de-Fonds,Switzerland
FC Xamax,Neuchâtel,Switzerland
FC Montriond,Lausanne,Switzerland
Anglo-American Club Zürich,Zurich,Switzerland
FC Tirol,Innsbruck,Austria
SSW Innsbruck,Innsbruck,Austria
Austria/WAC,Vienna,Austria
SK VÖEST Linz,Linz,Austria
Admira Wien,Vienna,Austria
Linzer ASK,Linz,Austria
Wiener Sport-Club,Vienna,Austria
First Vienna FC,Vienna,Austria
Wacker Wien,Vienna,Austria
Wiener Amateur-Sportverein,Vienna,Austria
Hakoah Wien,Vienna,Austria
Wiener Sport-Club,Vienna,Austria
Floridsdorfer AC,Vienna,Austria
Wiener AC,Vienna,Austria
Viking FK,Stavanger,Norway
Lillestrøm SK,Lillestrøm,Norway
Moss FK,Moss,Norway
IK Start,Kristiansand,Norway
Lyn Oslo,Oslo,Norway
Skeid Oslo,Oslo,Norway
Fredrikstad FK,Fredrikstad,Norway
Larvik Turn og IF,Larvik,Norway
Fram Larvik,Larvik,Norway
Örgryte IS,Gothenburg,Sweden
Åtvidabergs FF,Åtvidaberg,Sweden
GAIS Göteborg,Gothenburg,Sweden
IK Sleipner,Norrköping,Sweden
Brynäs IF,Gävle,Sweden
IFK Eskilstuna,Eskilstuna,Sweden
Göteborg IF,Gothenburg,Sweden
B.93 København,Copenhagen,Denmark
BK Frem København,Copenhagen,Denmark
KB København,Copenhagen,Denmark
B 1903 København,Copenhagen,Denmark
B1903 København,Copenhagen,Denmark
Aarhus GF,Aarhus,Denmark
Silkeborg IF,Silkeborg,Denmark
Lyngby BK,Copenhagen,Denmark
Odense BK,Odense,Denmark
Hvidovre IF,Hvidovre,Denmark
Esbjerg fB,Esbjerg,Denmark
B 1909 Odense,Odense,Denmark
Vejle BK,Vejle,Denmark
Lechia Gdańsk,Gdańsk,Poland
Widzew Łódź,Łódź,Poland
Ruch Chorzów,Chorzów,Poland
Górnik Zabrze,Zabrze,Poland
Stal Mielec,Mielec,Poland
Warta Poznań,Poznań,Poland
Ruch Wielkie Hajduki,Chorzów,Poland
Klub Sportowy Cracovia,Kraków,Poland
CAFC Vinohrady,Prague,Czech Republic
CFK Kickers Prag,Prague,Czech Republic
DFC Prag,Prague,Czech Republic
SK Bratislava,Bratislava,Slovakia
OAP Bratislava,Bratislava,Slovakia
AC Považská Bystrica,Považská Bystrica,Slovakia
Ferencvaros,Budapest,Hungary
MTK FC,Budapest,Hungary
Kispesti Honved FC,Budapest,Hungary
Budapest Honved SE,Budapest,Hungary
Újpesti Dózsa SC,Budapest,Hungary
MTK-Vörös Meteor Sport Kör,Budapest,Hungary
Raba ETO Györ,Győr,Hungary
FTC Budapest,Budapest,Hungary
Budapesti TC,Budapest,Hungary
Újpest FC,Budapest,Hungary
Nagyváradi AC,Oradea,Romania
Györi Vasas ETO,Győr,Hungary
Csepel SC,Budapest,Hungary
MTK,Budapest,Hungary
Budapesti Vörös Lobogó,Budapest,Hungary
Budapesti Bástya SE,Budapest,Hungary
PAOK Saloniki,Thessaloniki,Greece
AE Larisa,Larissa,Greece
HAŠK-Građanski,Zagreb,Croatia
NK Branik Maribor,Maribor,Slovenia
Colentina Bucuresti,Bucharest,Romania
United A.C. Ploiesti,Ploiești,Romania
Olimpia Bucuresti,Bucharest,Romania
Chinezul Timisoara,Timișoara,Romania
Venus Bucuresti,Bucharest,Romania
Ripensia Timisoara,Timișoara,Romania
Venus Bucuresti,Bucharest,Romania
Juventus București,Bucharest,Romania
Coltea Brasov,Brașov,Romania
FC Universitatea Craiova,Craiova,Romania
Argeș Pitești,Pitești,Romania
UT Arad,Arad,Romania
Petrolul Ploieşti,Ploiești,Romania
Flamura Roşie UT Arad,Arad,Romania
IT Arad,Arad,Romania
IC Oradea,Oradea,Romania
Unirea Tricolor,Bucharest,Romania
Víkingur Reykjavík,Reykjavik,Iceland
Fram Reykjavík,Reykjavik,Iceland
ÍB Keflavík,Reykjanesbær,Iceland
KA Akureyri,Akureyri,Iceland
Spartak-Alania,Vladikavkaz,Russia
ODO Minsk,Minsk,Belarus
Gomel-Team,Gomel,Belarus
BVO Brest,Brest,Belarus
DKA Minsk,Minsk,Belarus
Torpedo Minsk,Minsk,Belarus
ODO Minsk,Minsk,Belarus
FSM Minsk,Minsk,Belarus
Spartak Minsk,Minsk,Belarus
Spartak Bobruisk,Bobruisk,Belarus
Minsk-Team,Minsk,Belarus
Torpedo-BelAZ Zhodino,Zhodino,Belarus
Stroitel Bobruisk,Bobruisk,Belarus
Shinnik Bobruisk,Bobruisk,Belarus
Torpedo Mogilev,Mogilev,Belarus
FK Metallurg Molodechno,Molodechno,Belarus
Traktor Minsk,Minsk,Belarus
Kalakombinaat/MEK Pärnu,Pärnu,Estonia
Estonia Johvi,Jõhvi,Estonia
Baltika Narva,Narva,Estonia
Kreenholm Narva,Narva,Estonia
